TableS4. Integrated SFTSV sequences for Strains annottated for all the three segments information,,,,,,,,,,,,,,,,,,
accession_L,length_L,collection_date_L,host_L,strain,country_original_L,segment_L,accession_M,length_M,collection_date_M,host_M,country_original_M,segment_M,accession_S,length,collection_date,host,country_original,segment
OM453164,6368,1/1/2015,Homo sapiens,15-China_Henan-150,China: Henan,L,OM452487,3378,1/1/2015,Homo sapiens,China: Henan,M,MN510243,1744,42005,Homo sapiens,China,S
OM453165,6368,1/1/2015,Homo sapiens,15-China_Henan-151,China: Henan,L,OM452488,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451794,1744,42005,Homo sapiens,China: Henan,S
OM453166,6368,1/1/2015,Homo sapiens,15-China_Henan-153,China: Henan,L,OM452489,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451795,1744,42005,Homo sapiens,China: Henan,S
OM453167,6368,1/1/2015,Homo sapiens,15-China_Henan-155,China: Henan,L,OM452490,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451796,1744,42005,Homo sapiens,China: Henan,S
OM453168,6368,1/1/2015,Homo sapiens,15-China_Henan-16,China: Henan,L,OM452491,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451797,1744,42005,Homo sapiens,China: Henan,S
OM453169,6368,1/1/2015,Homo sapiens,15-China_Henan-160,China: Henan,L,OM452492,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451798,1744,42005,Homo sapiens,China: Henan,S
OM453170,6368,1/1/2015,Homo sapiens,15-China_Henan-165,China: Henan,L,OM452493,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451799,1744,42005,Homo sapiens,China: Henan,S
OM453171,6368,1/1/2015,Homo sapiens,15-China_Henan-168,China: Henan,L,OM452494,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451800,1744,42005,Homo sapiens,China: Henan,S
OM453172,6368,1/1/2015,Homo sapiens,15-China_Henan-170,China: Henan,L,OM452495,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451801,1744,42005,Homo sapiens,China: Henan,S
OM453173,6368,1/1/2015,Homo sapiens,15-China_Henan-174,China: Henan,L,OM452496,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451802,1744,42005,Homo sapiens,China: Henan,S
OM453174,6368,1/1/2015,Homo sapiens,15-China_Henan-176,China: Henan,L,OM452497,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451803,1744,42005,Homo sapiens,China: Henan,S
OM453175,6368,1/1/2015,Homo sapiens,15-China_Henan-178,China: Henan,L,OM452498,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451804,1744,42005,Homo sapiens,China: Henan,S
OM453176,6368,1/1/2015,Homo sapiens,15-China_Henan-179,China: Henan,L,OM452499,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451805,1744,42005,Homo sapiens,China: Henan,S
OM453177,6368,1/1/2015,Homo sapiens,15-China_Henan-2,China: Henan,L,OM452500,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451806,1744,42005,Homo sapiens,China: Henan,S
OM453178,6368,1/1/2015,Homo sapiens,15-China_Henan-200,China: Henan,L,OM452501,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451807,1744,42005,Homo sapiens,China: Henan,S
MN509931,6368,1/1/2015,Homo sapiens,15-China_Henan-201,China,L,MN510081,3378,1/1/2015,Homo sapiens,China,M,OM451808,1744,42005,Homo sapiens,China: Henan,S
OM453179,6368,1/1/2015,Homo sapiens,15-China_Henan-204,China: Henan,L,MN510082,3378,1/1/2015,Homo sapiens,China,M,OM451809,1744,42005,Homo sapiens,China: Henan,S
OM453180,6368,1/1/2015,Homo sapiens,15-China_Henan-206,China: Henan,L,OM452502,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451810,1744,42005,Homo sapiens,China: Henan,S
MN509932,6368,1/1/2015,Homo sapiens,15-China_Henan-211,China,L,OM452503,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451811,1744,42005,Homo sapiens,China: Henan,S
OM453181,6368,1/1/2015,Homo sapiens,15-China_Henan-213,China: Henan,L,OM452504,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451812,1744,42005,Homo sapiens,China: Henan,S
MN509933,6368,1/1/2015,Homo sapiens,15-China_Henan-217,China,L,MN510083,3378,1/1/2015,Homo sapiens,China,M,OM451813,1744,42005,Homo sapiens,China: Henan,S
MN509934,6368,1/1/2015,Homo sapiens,15-China_Henan-221,China,L,OM452505,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451814,1744,42005,Homo sapiens,China: Henan,S
OM453182,6368,1/1/2015,Homo sapiens,15-China_Henan-224,China: Henan,L,OM452506,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451815,1744,42005,Homo sapiens,China: Henan,S
OM453183,6368,1/1/2015,Homo sapiens,15-China_Henan-225,China: Henan,L,OM452507,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451816,1744,42005,Homo sapiens,China: Henan,S
OM453184,6368,1/1/2015,Homo sapiens,15-China_Henan-226,China: Henan,L,MN510084,3378,1/1/2015,Homo sapiens,China,M,OM451817,1744,42005,Homo sapiens,China: Henan,S
OM453185,6368,1/1/2015,Homo sapiens,15-China_Henan-227,China: Henan,L,OM452508,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451818,1744,42005,Homo sapiens,China: Henan,S
OM453186,6368,1/1/2015,Homo sapiens,15-China_Henan-228,China: Henan,L,OM452509,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451819,1744,42005,Homo sapiens,China: Henan,S
OM453187,6368,1/1/2015,Homo sapiens,15-China_Henan-229,China: Henan,L,OM452510,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451820,1744,42005,Homo sapiens,China: Henan,S
OM453188,6368,1/1/2015,Homo sapiens,15-China_Henan-23,China: Henan,L,MN510085,3378,1/1/2015,Homo sapiens,China,M,OM451821,1744,42005,Homo sapiens,China: Henan,S
OM453189,6368,1/1/2015,Homo sapiens,15-China_Henan-232,China: Henan,L,OM452511,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451822,1744,42005,Homo sapiens,China: Henan,S
OM453190,6368,1/1/2015,Homo sapiens,15-China_Henan-238,China: Henan,L,OM452512,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451824,1744,42005,Homo sapiens,China: Henan,S
OM453191,6368,1/1/2015,Homo sapiens,15-China_Henan-249,China: Henan,L,OM452513,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451825,1744,42005,Homo sapiens,China: Henan,S
OM453192,6368,1/1/2015,Homo sapiens,15-China_Henan-250,China: Henan,L,OM452514,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451826,1744,42005,Homo sapiens,China: Henan,S
MN509937,6368,1/1/2015,Homo sapiens,15-China_Henan-256,China,L,MN510086,3378,1/1/2015,Homo sapiens,China,M,MN510245,1744,42005,Homo sapiens,China,S
OM453193,6368,1/1/2015,Homo sapiens,15-China_Henan-257,China: Henan,L,OM452515,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451827,1744,42005,Homo sapiens,China: Henan,S
OM453194,6368,1/1/2015,Homo sapiens,15-China_Henan-258,China: Henan,L,OM452516,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451828,1744,42005,Homo sapiens,China: Henan,S
MN509939,6368,1/1/2015,Homo sapiens,15-China_Henan-260,China,L,MN510087,3378,1/1/2015,Homo sapiens,China,M,OM451829,1744,42005,Homo sapiens,China: Henan,S
OM453195,6368,1/1/2015,Homo sapiens,15-China_Henan-266,China: Henan,L,OM452517,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451830,1744,42005,Homo sapiens,China: Henan,S
OM453196,6368,1/1/2015,Homo sapiens,15-China_Henan-29,China: Henan,L,OM452518,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451831,1744,42005,Homo sapiens,China: Henan,S
OM453197,6368,1/1/2015,Homo sapiens,15-China_Henan-30,China: Henan,L,OM452519,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451832,1744,42005,Homo sapiens,China: Henan,S
MN509941,6368,1/1/2015,Homo sapiens,15-China_Henan-316,China,L,OM452520,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451833,1744,42005,Homo sapiens,China: Henan,S
OM453198,6368,1/1/2015,Homo sapiens,15-China_Henan-321,China: Henan,L,OM452521,3378,1/1/2015,Homo sapiens,China: Henan,M,MN510247,1744,42005,Homo sapiens,China,S
MN509942,6368,1/1/2015,Homo sapiens,15-China_Henan-322,China,L,MN510088,3378,1/1/2015,Homo sapiens,China,M,OM451834,1744,42005,Homo sapiens,China: Henan,S
OM453199,6368,1/1/2015,Homo sapiens,15-China_Henan-323,China: Henan,L,OM452522,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451835,1744,42005,Homo sapiens,China: Henan,S
OM453200,6368,1/1/2015,Homo sapiens,15-China_Henan-326,China: Henan,L,OM452523,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451836,1744,42005,Homo sapiens,China: Henan,S
OM453201,6368,1/1/2015,Homo sapiens,15-China_Henan-338,China: Henan,L,MN510090,3378,1/1/2015,Homo sapiens,China,M,OM451837,1744,42005,Homo sapiens,China: Henan,S
MN509924,6368,1/1/2015,Homo sapiens,15-China_Henan-34,China,L,OM452524,3378,1/1/2015,Homo sapiens,China: Henan,M,MN510240,1744,42005,Homo sapiens,China,S
OM453202,6368,1/1/2015,Homo sapiens,15-China_Henan-343,China: Henan,L,OM452525,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451838,1744,42005,Homo sapiens,China: Henan,S
OM453203,6368,1/1/2015,Homo sapiens,15-China_Henan-35,China: Henan,L,OM452526,3378,1/1/2015,Homo sapiens,China: Henan,M,MN510241,1744,42005,Homo sapiens,China,S
OM453204,6368,1/1/2015,Homo sapiens,15-China_Henan-351,China: Henan,L,OM452527,3378,1/1/2015,Homo sapiens,China: Henan,M,MN510249,1744,42005,Homo sapiens,China,S
OM453205,6368,1/1/2015,Homo sapiens,15-China_Henan-353,China: Henan,L,OM452528,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451839,1744,42005,Homo sapiens,China: Henan,S
OM453206,6368,1/1/2015,Homo sapiens,15-China_Henan-356,China: Henan,L,MN510091,3378,1/1/2015,Homo sapiens,China,M,MN510250,1744,42005,Homo sapiens,China,S
MN509945,6368,1/1/2015,Homo sapiens,15-China_Henan-363,China,L,OM452529,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451840,1744,42005,Homo sapiens,China: Henan,S
OM453208,6368,1/1/2015,Homo sapiens,15-China_Henan-365,China: Henan,L,OM452531,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451842,1744,42005,Homo sapiens,China: Henan,S
OM453209,6368,1/1/2015,Homo sapiens,15-China_Henan-374,China: Henan,L,OM452532,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451843,1744,42005,Homo sapiens,China: Henan,S
MN509947,6368,1/1/2015,Homo sapiens,15-China_Henan-380,China,L,MN510092,3378,1/1/2015,Homo sapiens,China,M,MN510251,1744,42005,Homo sapiens,China,S
OM453210,6368,1/1/2015,Homo sapiens,15-China_Henan-391,China: Henan,L,OM452533,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451844,1744,42005,Homo sapiens,China: Henan,S
OM453211,6368,1/1/2015,Homo sapiens,15-China_Henan-393,China: Henan,L,MN510094,3378,1/1/2015,Homo sapiens,China,M,OM451845,1744,42005,Homo sapiens,China: Henan,S
OM453212,6368,1/1/2015,Homo sapiens,15-China_Henan-398,China: Henan,L,MN510095,3378,1/1/2015,Homo sapiens,China,M,OM451846,1744,42005,Homo sapiens,China: Henan,S
OM453213,6368,1/1/2015,Homo sapiens,15-China_Henan-4,China: Henan,L,OM452534,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451847,1744,42005,Homo sapiens,China: Henan,S
OM453214,6368,1/1/2015,Homo sapiens,15-China_Henan-40,China: Henan,L,OM452535,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451848,1744,42005,Homo sapiens,China: Henan,S
OM453215,6368,1/1/2015,Homo sapiens,15-China_Henan-411,China: Henan,L,OM452536,3378,1/1/2015,Homo sapiens,China: Henan,M,MN510252,1744,42005,Homo sapiens,China,S
OM453216,6368,1/1/2015,Homo sapiens,15-China_Henan-413,China: Henan,L,OM452537,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451849,1744,42005,Homo sapiens,China: Henan,S
MN509952,6368,1/1/2015,Homo sapiens,15-China_Henan-414,China,L,OM452538,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451850,1744,42005,Homo sapiens,China: Henan,S
MN509953,6368,1/1/2015,Homo sapiens,15-China_Henan-415,China,L,OM452539,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451851,1744,42005,Homo sapiens,China: Henan,S
MN509954,6368,1/1/2015,Homo sapiens,15-China_Henan-430,China,L,MN510099,3378,1/1/2015,Homo sapiens,China,M,MN510253,1744,42005,Homo sapiens,China,S
MN509925,6368,1/1/2015,Homo sapiens,15-China_Henan-55,China,L,MN510107,3378,1/1/2015,Homo sapiens,China,M,OM451852,1744,42005,Homo sapiens,China: Henan,S
OM453217,6368,1/1/2015,Homo sapiens,15-China_Henan-58,China: Henan,L,OM452540,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451853,1744,42005,Homo sapiens,China: Henan,S
OM453218,6368,1/1/2015,Homo sapiens,15-China_Henan-61,China: Henan,L,OM452541,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451854,1744,42005,Homo sapiens,China: Henan,S
OM453219,6368,1/1/2015,Homo sapiens,15-China_Henan-62,China: Henan,L,OM452542,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451855,1744,42005,Homo sapiens,China: Henan,S
OM453220,6368,1/1/2015,Homo sapiens,15-China_Henan-68,China: Henan,L,OM452543,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451856,1744,42005,Homo sapiens,China: Henan,S
OM453221,6368,1/1/2015,Homo sapiens,15-China_Henan-7,China: Henan,L,OM452544,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451857,1744,42005,Homo sapiens,China: Henan,S
OM453222,6368,1/1/2015,Homo sapiens,15-China_Henan-73,China: Henan,L,OM452545,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451858,1744,42005,Homo sapiens,China: Henan,S
OM453223,6368,1/1/2015,Homo sapiens,15-China_Henan-75,China: Henan,L,OM452546,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451859,1744,42005,Homo sapiens,China: Henan,S
OM453224,6368,1/1/2015,Homo sapiens,15-China_Henan-78,China: Henan,L,OM452547,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451860,1744,42005,Homo sapiens,China: Henan,S
OM453225,6368,1/1/2015,Homo sapiens,15-China_Henan-79,China: Henan,L,OM452548,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451861,1744,42005,Homo sapiens,China: Henan,S
OM453226,6368,1/1/2015,Homo sapiens,15-China_Henan-8,China: Henan,L,OM452549,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451862,1744,42005,Homo sapiens,China: Henan,S
OM453227,6368,1/1/2015,Homo sapiens,15-China_Henan-82,China: Henan,L,OM452550,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451863,1744,42005,Homo sapiens,China: Henan,S
OM453228,6368,1/1/2015,Homo sapiens,15-China_Henan-9,China: Henan,L,OM452551,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451864,1744,42005,Homo sapiens,China: Henan,S
OM453229,6368,1/1/2015,Homo sapiens,15-China_Henan-91,China: Henan,L,OM452552,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451865,1744,42005,Homo sapiens,China: Henan,S
OM453230,6368,1/1/2015,Homo sapiens,15-China_Henan-95,China: Henan,L,OM452553,3378,1/1/2015,Homo sapiens,China: Henan,M,OM451866,1744,42005,Homo sapiens,China: Henan,S
MN509930,6368,1/1/2015,Homo sapiens,15-China_Hubei-154,China,L,MN510102,3378,1/1/2015,Homo sapiens,China,M,MN510244,1744,42005,Homo sapiens,China,S
MN509935,6368,1/1/2015,Homo sapiens,15-China_Hubei-234,China,L,MN510103,3378,1/1/2015,Homo sapiens,China,M,OM451823,1744,42005,Homo sapiens,China: Hubei,S
MN509938,6368,1/1/2015,Homo sapiens,15-China_Hubei-259,China,L,MN510105,3378,1/1/2015,Homo sapiens,China,M,MN510246,1744,42005,Homo sapiens,China,S
OM453154,6368,1/1/2016,Homo sapiens,16-China_Henan-110,China: Henan,L,OM452475,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451782,1744,42370,Homo sapiens,China: Henan,S
OM453231,6368,1/1/2016,Homo sapiens,16-China_Henan-115,China: Henan,L,OM452554,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451867,1744,42370,Homo sapiens,China: Henan,S
OM453232,6368,1/1/2016,Homo sapiens,16-China_Henan-118,China: Henan,L,OM452555,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451868,1744,42370,Homo sapiens,China: Henan,S
OM453233,6368,1/1/2016,Homo sapiens,16-China_Henan-122,China: Henan,L,OM452556,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451869,1744,42370,Homo sapiens,China: Henan,S
OM453234,6368,1/1/2016,Homo sapiens,16-China_Henan-123,China: Henan,L,OM452557,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451870,1744,42370,Homo sapiens,China: Henan,S
OM453235,6368,1/1/2016,Homo sapiens,16-China_Henan-128,China: Henan,L,OM452558,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451871,1744,42370,Homo sapiens,China: Henan,S
MN509957,6368,1/1/2016,Homo sapiens,16-China_Henan-135,China,L,MN510108,3378,1/1/2016,Homo sapiens,China,M,MN510256,1744,42370,Homo sapiens,China,S
OM453161,6368,1/1/2016,Homo sapiens,16-China_Henan-136,China: Henan,L,OM452483,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451790,1744,42370,Homo sapiens,China: Henan,S
MN509958,6368,1/1/2016,Homo sapiens,16-China_Henan-138,China,L,MN510109,3378,1/1/2016,Homo sapiens,China,M,MN510257,1744,42370,Homo sapiens,China,S
MN509959,6368,1/1/2016,Homo sapiens,16-China_Henan-149,China,L,MN510110,3378,1/1/2016,Homo sapiens,China,M,MN510258,1744,42370,Homo sapiens,China,S
OM453236,6368,1/1/2016,Homo sapiens,16-China_Henan-16,China: Henan,L,OM452559,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451872,1744,42370,Homo sapiens,China: Henan,S
OM453237,6368,1/1/2016,Homo sapiens,16-China_Henan-164,China: Henan,L,OM452560,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451873,1744,42370,Homo sapiens,China: Henan,S
OM453238,6368,1/1/2016,Homo sapiens,16-China_Henan-167,China: Henan,L,OM452561,3378,1/1/2016,Homo sapiens,China: Henan,M,MN510259,1744,42370,Homo sapiens,China,S
MN509956,6368,1/1/2016,Homo sapiens,16-China_Henan-17,China,L,MN510111,3378,1/1/2016,Homo sapiens,China,M,MN510255,1744,42370,Homo sapiens,China,S
MN509960,6368,1/1/2016,Homo sapiens,16-China_Henan-176,China,L,MN510112,3378,1/1/2016,Homo sapiens,China,M,MN510260,1744,42370,Homo sapiens,China,S
OM453239,6368,1/1/2016,Homo sapiens,16-China_Henan-179,China: Henan,L,OM452562,3378,1/1/2016,Homo sapiens,China: Henan,M,MN510261,1744,42370,Homo sapiens,China,S
OM453240,6368,1/1/2016,Homo sapiens,16-China_Henan-18,China: Henan,L,OM452563,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451874,1744,42370,Homo sapiens,China: Henan,S
OM453241,6368,1/1/2016,Homo sapiens,16-China_Henan-181,China: Henan,L,OM452564,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451875,1744,42370,Homo sapiens,China: Henan,S
OM453242,6368,1/1/2016,Homo sapiens,16-China_Henan-187,China: Henan,L,OM452565,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451876,1744,42370,Homo sapiens,China: Henan,S
OM453243,6368,1/1/2016,Homo sapiens,16-China_Henan-188,China: Henan,L,OM452566,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451877,1744,42370,Homo sapiens,China: Henan,S
OM453244,6368,1/1/2016,Homo sapiens,16-China_Henan-19,China: Henan,L,OM452567,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451878,1744,42370,Homo sapiens,China: Henan,S
OM453245,6368,1/1/2016,Homo sapiens,16-China_Henan-196,China: Henan,L,OM452568,3378,1/1/2016,Homo sapiens,China: Henan,M,MN510262,1744,42370,Homo sapiens,China,S
MN509961,6368,1/1/2016,Homo sapiens,16-China_Henan-198,China,L,OM452569,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451879,1744,42370,Homo sapiens,China: Henan,S
OM453246,6368,1/1/2016,Homo sapiens,16-China_Henan-212,China: Henan,L,OM452570,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451880,1744,42370,Homo sapiens,China: Henan,S
MN509963,6368,1/1/2016,Homo sapiens,16-China_Henan-245,China,L,MN510113,3378,1/1/2016,Homo sapiens,China,M,MN510264,1744,42370,Homo sapiens,China,S
OM453247,6368,1/1/2016,Homo sapiens,16-China_Henan-251,China: Henan,L,OM452571,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451881,1744,42370,Homo sapiens,China: Henan,S
OM453248,6368,1/1/2016,Homo sapiens,16-China_Henan-279,China: Henan,L,OM452572,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451882,1744,42370,Homo sapiens,China: Henan,S
OM453249,6368,1/1/2016,Homo sapiens,16-China_Henan-283,China: Henan,L,OM452573,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451883,1744,42370,Homo sapiens,China: Henan,S
OM453250,6368,1/1/2016,Homo sapiens,16-China_Henan-286,China: Henan,L,OM452574,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451884,1744,42370,Homo sapiens,China: Henan,S
OM453251,6368,1/1/2016,Homo sapiens,16-China_Henan-29,China: Henan,L,OM452575,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451885,1744,42370,Homo sapiens,China: Henan,S
OM453252,6368,1/1/2016,Homo sapiens,16-China_Henan-305,China: Henan,L,OM452576,3378,1/1/2016,Homo sapiens,China: Henan,M,MN510265,1744,42370,Homo sapiens,China,S
OM453253,6368,1/1/2016,Homo sapiens,16-China_Henan-32,China: Henan,L,OM452577,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451886,1744,42370,Homo sapiens,China: Henan,S
OM453254,6368,1/1/2016,Homo sapiens,16-China_Henan-335,China: Henan,L,OM452578,3378,1/1/2016,Homo sapiens,China: Henan,M,MN510266,1744,42370,Homo sapiens,China,S
OM453255,6368,1/1/2016,Homo sapiens,16-China_Henan-341,China: Henan,L,OM452579,3378,1/1/2016,Homo sapiens,China: Henan,M,MN510267,1744,42370,Homo sapiens,China,S
OM453207,6368,1/1/2016,Homo sapiens,16-China_Henan-364,China: Henan,L,OM452530,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451841,1744,42370,Homo sapiens,China: Henan,S
MN509965,6368,1/1/2016,Homo sapiens,16-China_Henan-370,China,L,MN510115,3378,1/1/2016,Homo sapiens,China,M,OM451887,1744,42370,Homo sapiens,China: Henan,S
OM453256,6368,1/1/2016,Homo sapiens,16-China_Henan-39,China: Henan,L,OM452580,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451888,1744,42370,Homo sapiens,China: Henan,S
OM453257,6368,1/1/2016,Homo sapiens,16-China_Henan-397,China: Henan,L,OM452581,3378,1/1/2016,Homo sapiens,China: Henan,M,MN510268,1744,42370,Homo sapiens,China,S
OM453258,6368,1/1/2016,Homo sapiens,16-China_Henan-401,China: Henan,L,OM452582,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451889,1744,42370,Homo sapiens,China: Henan,S
MN509966,6368,1/1/2016,Homo sapiens,16-China_Henan-402,China,L,MN510116,3378,1/1/2016,Homo sapiens,China,M,MN510269,1744,42370,Homo sapiens,China,S
OM453259,6368,1/1/2016,Homo sapiens,16-China_Henan-405,China: Henan,L,OM452583,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451890,1744,42370,Homo sapiens,China: Henan,S
MN509967,6368,1/1/2016,Homo sapiens,16-China_Henan-412,China,L,MN510117,3378,1/1/2016,Homo sapiens,China,M,MN510270,1744,42370,Homo sapiens,China,S
MN509968,6368,1/1/2016,Homo sapiens,16-China_Henan-418,China,L,MN510118,3378,1/1/2016,Homo sapiens,China,M,MN510271,1744,42370,Homo sapiens,China,S
MN509969,6368,1/1/2016,Homo sapiens,16-China_Henan-421,China,L,MN510119,3378,1/1/2016,Homo sapiens,China,M,OM451891,1744,42370,Homo sapiens,China: Henan,S
MN509970,6368,1/1/2016,Homo sapiens,16-China_Henan-428,China,L,MN510120,3378,1/1/2016,Homo sapiens,China,M,OM451892,1744,42370,Homo sapiens,China: Henan,S
MN509971,6368,1/1/2016,Homo sapiens,16-China_Henan-431,China,L,MN510121,3378,1/1/2016,Homo sapiens,China,M,MN510272,1744,42370,Homo sapiens,China,S
MN509972,6368,1/1/2016,Homo sapiens,16-China_Henan-439,China,L,MN510122,3378,1/1/2016,Homo sapiens,China,M,OM451893,1744,42370,Homo sapiens,China: Henan,S
MN509973,6368,1/1/2016,Homo sapiens,16-China_Henan-444,China,L,MN510123,3378,1/1/2016,Homo sapiens,China,M,MN510273,1744,42370,Homo sapiens,China,S
OM453260,6368,1/1/2016,Homo sapiens,16-China_Henan-452,China: Henan,L,OM452584,3378,1/1/2016,Homo sapiens,China: Henan,M,MN510274,1744,42370,Homo sapiens,China,S
MN509974,6368,1/1/2016,Homo sapiens,16-China_Henan-453,China,L,MN510124,3378,1/1/2016,Homo sapiens,China,M,OM451894,1744,42370,Homo sapiens,China: Henan,S
MN509975,6368,1/1/2016,Homo sapiens,16-China_Henan-456,China,L,MN510125,3378,1/1/2016,Homo sapiens,China,M,MN510275,1744,42370,Homo sapiens,China,S
OM453262,6368,1/1/2016,Homo sapiens,16-China_Henan-504,China: Henan,L,OM452586,3378,1/1/2016,Homo sapiens,China: Henan,M,MN510276,1744,42370,Homo sapiens,China,S
OM453263,6368,1/1/2016,Homo sapiens,16-China_Henan-532,China: Henan,L,OM452587,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451896,1744,42370,Homo sapiens,China: Henan,S
OM453264,6368,1/1/2016,Homo sapiens,16-China_Henan-590,China: Henan,L,MN510126,3378,1/1/2016,Homo sapiens,China,M,MN510277,1744,42370,Homo sapiens,China,S
OM453265,6368,1/1/2016,Homo sapiens,16-China_Henan-595,China: Henan,L,OM452588,3378,1/1/2016,Homo sapiens,China: Henan,M,MN510278,1744,42370,Homo sapiens,China,S
OM453266,6368,1/1/2016,Homo sapiens,16-China_Henan-598,China: Henan,L,OM452589,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451897,1744,42370,Homo sapiens,China: Henan,S
OM453267,6368,1/1/2016,Homo sapiens,16-China_Henan-605,China: Henan,L,OM452590,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451898,1744,42370,Homo sapiens,China: Henan,S
OM453268,6368,1/1/2016,Homo sapiens,16-China_Henan-614,China: Henan,L,OM452591,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451899,1744,42370,Homo sapiens,China: Henan,S
OM453269,6368,1/1/2016,Homo sapiens,16-China_Henan-64,China: Henan,L,OM452592,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451900,1744,42370,Homo sapiens,China: Henan,S
OM453270,6368,1/1/2016,Homo sapiens,16-China_Henan-74,China: Henan,L,OM452593,3378,1/1/2016,Homo sapiens,China: Henan,M,OM451901,1744,42370,Homo sapiens,China: Henan,S
